Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Blue Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chocolate Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dyeable Spectacles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Face Mask,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Green Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Invisible Shield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Orange Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shiny Specs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shiny Specs (Dyeable),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Surgeon Mask,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Upgraded Backpack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vanilla Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Watermelon Popsicle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
White Puppy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cadburry (Backpack),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chick Backpack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bat Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bubble Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cloud Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Darkness Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Golden Petal Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ice Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leaf Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lily Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Love Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pansy Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pentagram Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Petals Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rainbow Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rain Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rock Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shadow Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shock Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Snowflake Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Splash Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunflower Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tulip Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Twinkle Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whirlwind Effect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antennae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antlers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cat Ears,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dyeable Stargazer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evil Horns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Halo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pinwheel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sparkles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stargazer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Path's Dyeable Spectacles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Star's Face Shield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black Cape of Romance,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,2,-,2,-,-,-,-,-
Fanny Pouch,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,100,-,100,-,-,-,-,-,-
Royal Cloak of Honor,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,2,-,2,-,-,-,-,-
Bat Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Butterfly Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cherub Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eagle Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fae Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairy Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gothic Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phoenix Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pink Vector Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Skeletal Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valkyrie Wings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lantern,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zulera's Heirloom,-,11,-,200,200,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-
God's Star,-,99,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Nyx's Pendant,-,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Medal of Arcane,-,99,-,-,1500,-,-,-,-,-,-,-,-,-,-,-,-,20,10,-,-,-,-,-
Medal of Benevolence,-,99,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,8,-,-,1,-,-
Medal of Cunning,-,99,-,-,-,-,-,-,-,-,-,7,8,-,-,-,12,-,-,-,-,-,-,-
Medal of Devotion,-,99,-,-,-,-,10,-,5,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
Medal of Enlightenment,-,99,-,-,1000,-,-,-,10,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-
Medal of Evasion,-,99,-,800,-,-1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Medal of Faith,-,99,-,-,1000,-,-,-,8,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-
Medal of Focus,-,99,-,-,-,-,-,-,-,8,-,8,-,-,-,-,16,-,-,-,-,-,-,-
Medal of Fortitude,-,99,-,2000,-,-1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Medal of Harmony,-,99,-,1200,-,-,-,-,-,-,8,-,-,-,-,-,12,-,-,-,-,-,-,-
Medal of Knowledge,-,99,-,-,800,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Medal of Might,-,99,-,1000,-,-,-,7,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
Medal of Mysticism,-,99,-,-,-,-,20,-,-,5,-,-,-,20,-,-,-,-,-,-,-,-,-,-
Medal of Precision,-,99,-,-,-,-,-,-,-,-,-,5,-,12,-,-,10,-,-,-,-,-,-,-
Medal of Purity,-,99,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,150,10,-,-,-
Medal of Serenity,-,99,-,1800,-,-,-,-,-,8,-,-,12,-,-,-,-,-,-,-,-,-,-,-
Medal of Shadows,-,99,-,-,-,-,10,-,-,-,-,-,-,8,-,-,16,-,-,-,-,-,-,-
Medal of Sorcery,-,99,-,-,-,-,12,-,5,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-
Medal of Strength,-,99,-,-,-,-,-,5,-,-,-,-,8,-,-,-,8,-,-,-,-,-,-,-
Medal of Valor,-,99,-,-,-,-,-,5,-,-,5,-,15,-,-,-,-,-,-,-,-,-,-,-
