Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Monk Master Dress,-,-,13,1000,-600,-49,30,-1,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Grand Master Virtue Armor,-,-,12,2000,1000,-53,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Refined Monk Master Dress,-,-,13,2000,-,-50,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Earth Bodice,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Earth Bodice,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Earth Bodice,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Earth Bodice,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Earth Bodice,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Earth Bodice,-,8,4,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lotus Bodice,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lotus Bodice,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lotus Bodice,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lotus Bodice,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lotus Bodice,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lotus Bodice,-,26,6,100,25,-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Moon Bodice,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Moon Bodice,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Moon Bodice,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Moon Bodice,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Moon Bodice,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Moon Bodice,-,56,8,200,100,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Nagatier Cloak,-,60,5,300,75,-30,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Lightning Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lightning Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lightning Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lightning Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lightning Garb,-,71,11,250,-,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Aosdic Pattern Walker,-,80,25,-400,-200,-34,20,-,-,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-
Refined Lightning Garb,-,86,11,550,100,-40,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Sea Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Sea Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Sea Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Sea Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Sea Garb,-,99,14,800,200,-45,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
