Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Monk Master Mantle,-,-,13,1000,-600,-49,30,-1,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Grand Master Virtue Armor,-,-,12,2000,1000,-53,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Refined Monk Master Mantle,-,-,13,2000,-,-50,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Dobok,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dobok,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dobok,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dobok,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dobok,-,3,4,-,-,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dobok,-,8,4,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Culotte,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Culotte,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Culotte,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Culotte,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Culotte,-,11,6,25,25,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Culotte,-,26,6,100,25,-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Earth Garb,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Earth Garb,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Earth Garb,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Earth Garb,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Earth Garb,-,41,8,150,50,-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Earth Garb,-,56,8,200,100,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Nagatier Cloak,-,60,5,300,75,-30,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Wind Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Wind Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Wind Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Wind Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Garb,-,71,11,400,200,-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Aosdic Pattern Walker,-,80,25,-400,-200,-34,20,-,-,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-
Refined Wind Garb,-,86,11,550,100,-40,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mountain Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mountain Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mountain Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mountain Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mountain Garb,-,97,14,650,125,-43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mountain Garb,-,99,14,800,200,-45,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
