Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Celestial Gown,-,-,10,2000,1000,-42,40,1,1,1,1,1,5,-,-,-,5,-,5,-,5,-,-,-
Refined Sacred Dress,-,-,10,1000,500,-39,20,-,1,2,1,-,-,-,-,-,-,-,-,-,5,-,-,-
Sacred Dress,-,-,10,1000,-500,-38,20,1,-2,-,1,-1,-,-,-,-,-,-,-,-,3,-,-,-
Gorget Gown,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Gorget Gown,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Gorget Gown,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Gorget Gown,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Gorget Gown,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Gorget Gown,-,8,4,25,25,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mystic Gown,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mystic Gown,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mystic Gown,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mystic Gown,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mystic Gown,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mystic Gown,-,26,5,50,50,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Elle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Elle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Elle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Elle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Elle,-,56,7,100,100,-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Dark Cleric Robes,-,60,5,150,150,-22,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dolman,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dolman,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dolman,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dolman,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dolman,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morrigu Disciple Pellison,-,80,10,-400,400,-25,20,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dolman,-,86,10,250,250,-30,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bansagart,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Bansagart,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Bansagart,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Bansagart,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Bansagart,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Bansagart,-,99,14,400,400,-34,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
