Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Divine Robe,-,-,10,2000,1000,-42,40,1,1,1,1,1,5,-,-,-,5,-,5,-,5,-,-,-
Refined Sacred Mantle,-,-,10,1000,500,-39,20,-,1,2,1,-,-,-,-,-,-,-,-,-,5,-,-,-
Sacred Mantle,-,-,10,1000,-500,-38,20,1,-2,-,1,-1,-,-,-,-,-,-,-,-,3,-,-,-
Cowl,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cowl,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cowl,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cowl,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cowl,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cowl,-,8,4,25,25,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Galuchat Coat,-,11,5,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Galuchat Coat,-,11,5,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Galuchat Coat,-,11,5,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Galuchat Coat,-,11,5,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Galuchat Coat,-,11,5,25,25,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Galuchat Coat,-,26,5,50,50,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mantle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mantle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mantle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mantle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mantle,-,41,7,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mantle,-,56,7,100,100,-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Dark Cleric Robes,-,60,5,150,150,-22,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hierophant,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Hierophant,-,71,10,150,150,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Hierophant,-,71,10,150,150,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Hierophant,-,71,10,150,150,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Hierophant,-,71,10,150,150,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Cthonic Disciple Robes,-,80,10,-400,400,-25,20,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Hierophant,-,86,10,250,250,-30,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dalmatica,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dalmatica,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dalmatica,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dalmatica,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dalmatica,-,97,14,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dalmatica,-,99,14,400,400,-34,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
