Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Shadow Plate,-,-,12,2000,1000,-46,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Refined Rogue Master Dress,-,-,12,1000,500,-43,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Rogue Master Dress,-,-,12,1000,-500,-42,30,-1,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Cotte,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cotte,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cotte,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cotte,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cotte,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cotte,-,8,4,25,25,-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brigandine,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Brigandine,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Brigandine,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Brigandine,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Brigandine,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Brigandine,-,26,6,50,50,-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corsette,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Corsette,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Corsette,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Corsette,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Corsette,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Corsette,-,56,9,150,75,-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Reiter Mail,-,60,5,250,100,-25,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Loures Pebble Rose,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Pebble Rose,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pebble Rose,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Pebble Rose,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Pebble Rose,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Marauder Hide,-,80,20,-300,-300,-29,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-
Refined Pebble Rose,-,86,13,400,175,-34,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagum,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Kagum,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Kagum,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Kagum,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Kagum,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kagum,-,99,18,600,300,-38,10,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
