Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Shadow Plate,-,-,12,2000,1000,-48,40,3,-,-,-,3,10,-,-,-,10,-,-,-,-,-,-,-
Refined Rogue Master Mantle,-,-,12,1000,500,-43,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Rogue Master Mantle,-,-,12,1000,-500,-42,30,-1,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Grand Master Shadow Mail,-,-,12,2000,1000,-46,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Loures Scout Leather,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Scout Leather,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Scout Leather,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scout Leather,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Scout Leather,-,3,4,-,-,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Scout Leather,-,8,4,25,25,-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dwarvish Leather,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dwarvish Leather,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dwarvish Leather,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dwarvish Leather,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dwarvish Leather,-,11,6,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dwarvish Leather,-,26,6,50,50,-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Paluten,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Paluten,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paluten,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Paluten,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Paluten,-,41,9,125,50,-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Paluten,-,56,9,150,75,-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Reiter Mail,-,60,5,250,100,-25,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Keaton,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Keaton,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Keaton,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Keaton,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Keaton,-,71,13,300,150,-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Marauder Hide,-,80,20,-300,-300,-29,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-
Refined Keaton,-,86,13,400,175,-34,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bardocle,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Bardocle,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Bardocle,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Bardocle,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Bardocle,-,97,18,450,225,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Bardocle,-,99,18,600,300,-38,10,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
