Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Warrior Armor,-,-,40,2000,1000,-49,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Refined Warrior Master Dress,-,-,40,1500,250,-46,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Warrior Master Dress,-,-,40,1000,-300,-45,30,-2,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Leather Bliaut,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Leather Bliaut,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Leather Bliaut,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Leather Bliaut,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Leather Bliaut,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Leather Bliaut,-,8,4,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuirass,-,11,14,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cuirass,-,11,14,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cuirass,-,11,14,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cuirass,-,11,14,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cuirass,-,11,14,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cotehardie,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cotehardie,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cotehardie,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cuirass,-,26,9,50,50,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cotehardie,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cotehardie,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasmanium Hauberk,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Kasmanium Hauberk,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Kasmanium Hauberk,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Kasmanium Hauberk,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Kasmanium Hauberk,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kasmanium Hauberk,-,56,23,150,75,-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Surplice Blouse,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Scarlet Carapace,-,60,20,250,100,-27,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Labyrinth Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Labyrinth Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Labyrinth Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Labyrinth Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Labyrinth Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Carnun Plate,-,80,35,-800,-,-30,20,2,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
Phoenix Mail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Phoenix Mail,-,86,38,400,175,-37,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Armor,-,97,40,450,225,-38,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Hy-Brasyl Armor,-,99,40,600,300,-40,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
