Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Warrior Armor,-,-,40,2000,1000,-49,40,1,1,1,1,1,5,5,-,-,5,-,5,-,5,-,-,-
Refined Warrior Master Mantle,-,-,40,1500,250,-46,30,1,-,-,-,1,5,-,-,-,5,-,-,-,-,-,-,-
Warrior Master Mantle,-,-,40,1000,-300,-45,30,-2,-,-,-,-1,3,-,-,-,3,-,-,-,-,-,-,-
Leather Tunic,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Leather Tunic,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Leather Tunic,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Leather Tunic,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Leather Tunic,-,3,4,-,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Leather Tunic,-,8,4,25,25,-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jupe,-,11,9,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Jupe,-,11,9,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Jupe,-,11,9,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Jupe,-,11,9,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Jupe,-,11,9,25,25,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lorica,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lorica,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lorica,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lorica,-,26,9,50,50,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lorica,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lorica,-,26,9,50,50,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasmanium Armor,-,41,23,125,50,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chainmail,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Chainmail,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Chainmail,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kasmanium Armor,-,56,23,150,75,-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Chainmail,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Chainmail,-,56,24,150,75,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Scarlet Carapace,-,60,20,250,100,-27,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iplet Mail,-,71,35,300,150,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Carnun Plate,-,80,35,-800,-,-30,20,2,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
Loures Platemail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Platemail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Platemail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Iplet Mail,-,86,35,400,175,-37,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Platemail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Platemail,-,86,40,400,175,-36,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Plate,-,97,40,450,225,-38,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Hy-Brasyl Plate,-,99,40,600,300,-40,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
