Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Mystic Cloak,-,-,10,2000,1000,-42,40,1,1,1,1,1,5,-,-,-,5,-,5,-,5,-,-,-
Refined Wizard Master Dress,-,-,10,1000,500,-39,20,-,2,1,1,-,-,-,-,-,-,-,5,-,-,-,-,-
Wizard Master Dress,-,-,10,1000,-500,-38,20,2,-1,-2,1,-1,-,-,-,-,-,-,3,-,-,-,-,-
Loures Magi Skirt,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Magi Skirt,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Magi Skirt,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Magi Skirt,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Magi Skirt,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Magi Skirt,-,8,4,25,25,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benusta,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Benusta,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Benusta,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Benusta,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Benusta,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Benusta,-,26,6,50,50,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Stoller,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Stoller,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Stoller,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stoller,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Stoller,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Stoller,-,56,10,100,100,-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Lich Robe,-,60,7,150,150,-22,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clymouth,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Clymouth,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Clymouth,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Clymouth,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Clymouth,-,71,10,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morrigu Magus Pellison,-,80,10,-400,300,-25,20,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Clymouth,-,86,10,250,250,-30,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clamyth,-,97,10,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Clamyth,-,97,10,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Clamyth,-,97,10,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Clamyth,-,97,10,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Clamyth,-,97,10,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Clamyth,-,99,10,400,400,-34,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
