Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Grand Master Mystic Robe,-,-,10,2000,1000,-42,40,1,1,1,1,1,5,-,-,-,5,-,5,-,5,-,-,-
Refined Wizard Master Mantle,-,-,10,1000,500,-39,20,-,2,1,1,-,-,-,-,-,-,-,5,-,-,-,-,-
Wizard Master Mantle,-,-,10,1000,-500,-38,20,2,-1,-2,1,-1,-,-,-,-,-,-,3,-,-,-,-,-
Gardcorp,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Gardcorp,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Gardcorp,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Gardcorp,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Gardcorp,-,3,4,-,-,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Gardcorp,-,8,4,25,25,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journeyman,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Journeyman,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Journeyman,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Journeyman,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Journeyman,-,11,6,25,25,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Journeyman,-,26,6,50,50,-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lorum,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lorum,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lorum,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lorum,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lorum,-,41,10,75,75,-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lorum,-,56,10,100,100,-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Lich Robe,-,60,7,150,150,-22,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mane,-,71,18,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mane,-,71,18,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mane,-,71,18,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mane,-,71,18,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mane,-,71,18,200,200,-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cthonic Magus Robes,-,80,21,-400,300,-25,20,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mane,-,86,18,250,250,-30,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Duin-Uasal,-,97,28,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Duin-Uasal,-,97,28,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Duin-Uasal,-,97,28,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Duin-Uasal,-,97,28,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Duin-Uasal,-,97,28,300,300,-32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Duin-Uasal,-,99,28,400,400,-34,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
