Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Forsaken Belt,-,-,1,800,400,-3,15,-3,-,-,-3,-3,8,-,-,-,-,-,-,-,-,2,-,-
Dark Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Earth Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Azurium Belt,-,-,1,-,600,-1,10,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Earth Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Fire Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Light Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Sea Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Wind Crimsonite Belt,-,-,1,600,-,-2,10,1,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Earth Belt,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Belt,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Belt,-,4,1,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Belt,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Belt,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Earth Belt,-,11,1,100,50,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Fire Belt,-,11,1,-,-,-1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Sea Belt,-,11,1,-,-,-1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Wind Belt,-,11,1,-,-,-1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mythril Belt,-,20,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Earth Bronze Belt,-,20,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Bronze Belt,-,20,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Bronze Belt,-,20,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Bronze Belt,-,20,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Belt,-,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Belt,-,30,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Belt,-,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Bronze Belt,-,30,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Bronze Belt,-,30,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Earth Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Iron Belt,-,41,1,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Metal Belt,-,41,1,100,-,-1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Nature Belt,-,41,1,100,-,-1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mythril Braid Belt,-,71,1,-,75,-,10,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Dark Belt,-,71,1,100,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Light Belt,-,71,1,100,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
