Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Amorphous Gauntlet,-,-,4,200,600,-2,-,-,-,-,-,-,-,4,-,-,-,50,-,-,-,-,-,-
Forsaken Gauntlet,-,-,4,1500,-,-4,-5,1,-2,-2,1,1,6,-,-,75,2,-,-,-,-,-,-,-
Nyx's Embrace,-,-,4,700,350,-3,-6,1,1,1,-,-,4,4,-,-,1,-,1,-,1,-,-,-
Scale Bracer,-,-,5,1000,500,-4,-,3,-,-,3,-,6,-,-,75,2,-,-,37,1,-,-,-
Scurvy Gauntlet,-,-,4,800,-,-3,-,-,-,-,-,-,5,-,-,50,-,-,-,-,-,-,-,-
Spiked Bracer,-,-,5,1500,750,-5,-,3,-,-,3,3,7,-,-,100,3,-,-,100,1,-,-,-
Azurium Beryl Gauntlet,-,-,4,400,800,-3,-,-,1,1,3,-,2,1,-,-,-,-,-,-,-,-,-,-
Azurium Emerald Gauntlet,-,-,4,-,800,-3,-,-,1,1,1,2,-,3,-,-,-,-,-,-,-,-,-,-
Azurium Heartstone Gauntlet,-,-,4,-,1000,-3,4,-,1,3,1,-,-,3,-,-,-,-,-,-,-,-,-,-
Azurium Ruby Gauntlet,-,-,4,-,800,-3,-,2,1,1,1,-,4,3,-,-,-,-,-,-,-,-,-,-
Azurium Sapphire Gauntlet,-,-,4,-,1000,-3,-,-,3,1,1,-,-,5,-,-,-,-,-,-,-,-,-,-
Crimsonite Beryl Gauntlet,-,-,4,1200,-,-4,-,1,-,-,3,1,7,1,-,-,-,-,-,-,-,-,-,-
Crimsonite Emerald Gauntlet,-,-,4,800,-,-4,-,1,-,-,1,3,5,-,-,-,-,-,-,-,-,-,-,-
Crimsonite Heartstone Gauntlet,-,-,4,800,200,-4,4,1,-,2,1,1,5,-,-,-,-,-,-,-,-,-,-,-
Crimsonite Ruby Gauntlet,-,-,4,800,-,-4,-,3,-,-,1,1,9,-,-,-,-,-,-,-,-,-,-,-
Crimsonite Sapphire Gauntlet,-,-,4,800,200,-4,-,1,2,-,1,1,5,2,-,-,-,-,-,-,-,-,-,-
Leather Gauntlet,-,9,1,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Bracer,-,11,1,100,50,-1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Beryl Gauntlet,-,11,1,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Emerald Gauntlet,-,11,1,75,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Leather Heartstone Gauntlet,-,11,1,75,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Ruby Gauntlet,-,11,1,75,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Leather Sapphire Gauntlet,-,11,1,75,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Padded Gauntlet,-,17,1,100,50,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Beryl Gauntlet,-,26,3,-,-300,-1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Emerald Gauntlet,-,26,3,-,-300,-1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
