Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Mystic Greaves,-,-,8,-,4000,-6,20,-,-,-,-,-,-,8,-,-,-,-,10,-,-,10,-,-
Reinforced Spiked Greaves,-,-,8,1200,-,-5,10,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
Sacred Greaves,-,-,8,500,1000,-4,10,-2,2,2,-,-,-,6,-,-,-,-,-,-,-,-,-,-
Scurvy Greaves,-,-,8,500,500,-3,10,-,-,-,-,-,8,4,-,-,-,-,-,-,-,-,-,-
Slatespire Legplates,-,-,8,1800,-,-6,10,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
Leather Greaves,-,6,3,-,-100,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Greaves,-,14,3,-,-300,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reinforced Leather Greaves,-,21,3,150,-150,-2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iron Greaves,-,26,5,-,-500,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spiked Greaves,-,56,7,500,-500,-4,5,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
Mythril Greaves,-,59,7,250,-250,-3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fiery Greaves,-,90,7,600,-200,-4,5,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
Glace Greaves,-,90,7,-,250,-3,5,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Greaves,-,93,9,500,-500,-4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Aisling Greaves,-,96,7,500,500,-3,5,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-
Nyx's Poleyns,-,99,8,850,850,-4,10,2,2,-,-,-,5,5,5,-,-,-,-,-,-,-,-,-
