Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Forsaken Dark Necklace,-,-,1,1500,-,-,-,-1,-,-,-1,-1,-,-,-,-,3,-,-,-,-,2,-,-
Sacred Light Necklace,-,-,1,500,500,-,-,-,-1,-1,-1,-,-,12,-,-,-,-,3,-,3,2,-,-
Azurium Dark Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Azurium Earth Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Azurium Fire Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Azurium Light Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Azurium Sea Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Azurium Wind Necklace,-,-,1,-,500,-,-,-,1,1,1,-,-,8,-,-,-,-,2,-,2,-,-,-
Crimsonite Dark Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Crimsonite Earth Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Crimsonite Fire Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Crimsonite Light Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Crimsonite Sea Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Crimsonite Wind Necklace,-,-,1,1000,-,-,-,1,-,-,1,1,-,-,16,-,2,-,-,-,-,-,-,-
Earth Necklace,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Necklace,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Necklace,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Necklace,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jade Necklace,-,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pearl Necklace,-,9,1,-,200,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Earth Necklace,-,11,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Bone Fire Necklace,-,11,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Bone Sea Necklace,-,11,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Bone Wind Necklace,-,11,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Amber Necklace,-,14,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Bone Necklace,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Bone Necklace,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Diamond Necklace,-,15,1,-,-,-1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Pearl Chain Necklace,-,41,1,-,250,-,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phoenix Necklace,-,41,1,-,100,-,-,-,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
Kanna Earth Necklace,-,41,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Kanna Fire Necklace,-,41,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Kanna Sea Necklace,-,41,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Kanna Wind Necklace,-,41,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Sea Coral Necklace,-,60,1,-,300,-,-,-,-,-,-,-,-,4,-,-,-,25,-,-,-,-,-,-
Fire Molten Necklace,-,70,1,500,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-
Sand Necklace,-,70,1,400,200,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Polished Earth Necklace,-,71,1,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-
Polished Fire Necklace,-,71,1,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-
Polished Sea Necklace,-,71,1,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-
Polished Wind Necklace,-,71,1,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-
Dark Skull Necklace,-,80,1,-500,250,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
Leaf Necklace,-,80,1,200,400,-,-,-,-,-,-,-,-,5,-,-,-,-,-,25,-,-,-,-
Star Earth Necklace,-,97,1,-,-,-,-,-,-,-,-,-,-,6,12,-,-,-,-,-,-,-,-,-
Star Fire Necklace,-,97,1,-,-,-,-,-,-,-,-,-,-,6,12,-,-,-,-,-,-,-,-,-
Star Sea Necklace,-,97,1,-,-,-,-,-,-,-,-,-,-,6,12,-,-,-,-,-,-,-,-,-
Star Wind Necklace,-,97,1,-,-,-,-,-,-,-,-,-,-,6,12,-,-,-,-,-,-,-,-,-
