Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Azurium Beryl Ring,-,-,1,500,500,-,5,-,1,1,3,-,2,4,-,-,-,-,1,-,-,-,-,-
Azurium Emerald Ring,-,-,1,-,500,-,5,-,1,1,1,2,-,3,-,-,-,-,1,-,-,-,-,-
Azurium Heartstone Ring,-,-,1,-,750,-,9,-,1,3,1,-,-,3,-,-,-,-,1,-,-,-,-,-
Azurium Ruby Ring,-,-,1,-,500,-,5,2,1,1,1,-,4,3,-,-,-,-,1,-,-,-,-,-
Azurium Sapphire Ring,-,-,1,-,750,-,5,-,3,1,1,-,-,5,-,-,-,-,1,-,-,-,-,-
Crimsonite Beryl Ring,-,-,1,1500,-,-,5,1,-,-,3,1,2,1,6,-,1,-,-,-,-,-,-,-
Crimsonite Emerald Ring,-,-,1,1000,-,-,5,1,-,-,1,3,-,-,10,-,1,-,-,-,-,-,-,-
Crimsonite Heartstone Ring,-,-,1,1000,250,-,9,1,-,2,1,1,-,-,6,-,1,-,-,-,-,-,-,-
Crimsonite Ruby Ring,-,-,1,1000,-,-,5,3,-,-,1,1,4,-,6,-,1,-,-,-,-,-,-,-
Crimsonite Sapphire Ring,-,-,1,1000,250,-,5,1,2,-,1,1,-,2,6,-,1,-,-,-,-,-,-,-
Black Stone Ring,-,-,1,500,-500,1,-,2,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-
Bonecharm Seal,-,-,1,750,750,1,5,-,2,2,-5,-,-,6,-,-,-,-,4,-,4,-,-,-
Forsaken Ring,-,-,1,1000,-,-,-3,1,-,-,1,1,-,-,-,-,3,-,-,-,-,-,-,-
Large Emerald Ring,-,-,1,1000,-,-1,10,-,-,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-
Nyx's Twilight Band,-,-,1,750,375,1,-3,1,1,1,1,1,-,4,-,-,2,-,2,-,2,-,-,-
Ring Of Flames,-,-,1,-500,500,2,-,-,2,-,-,-,-,4,-,-,-,-,2,-,-,-,-,-
Sacred Ring,-,-,1,500,500,1,-3,-,1,1,-1,-,-,5,-,-,-,-,3,-,3,-,-,-
Beryl Ring,-,1,1,40,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Love Ring,-,1,1,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small Ruby Ring,-,1,1,80,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
Ruby Ring,-,3,1,150,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
Coral Ring,-,9,1,50,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Red Jade Ring,-,10,1,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emerald Ring,-,11,1,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tristar Ring,-,11,1,350,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Beryl Ring,-,11,1,150,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Emerald Ring,-,11,1,100,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-
Bronze Heartstone Ring,-,11,1,100,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Ruby Ring,-,11,1,100,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Bronze Sapphire Ring,-,11,1,100,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Amethyst Ring,-,16,1,200,100,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Grave Ring,-,16,1,-250,-250,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jade Ring,-,16,1,350,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Royal Gold Ring,-,20,1,400,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Royal Silver Ring,-,20,1,100,300,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Sparkle Ring,-,20,1,200,200,-,10,1,1,1,1,1,4,2,-,-,-,-,-,-,-,-,-,-
Talos Ring,-,30,1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Scale Ring,Dragon Scale Quest,41,1,500,200,-,-,1,-,-,1,-,4,2,-,-,-,-,-,-,-,-,-,-
Iron Beryl Ring,-,41,1,350,-,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-
Iron Emerald Ring,-,41,1,250,-,-,-,-,-,-,-,1,-,-,7,-,-,-,-,-,-,-,-,-
Iron Heartstone Ring,-,41,1,250,-,-,2,-,-,1,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Iron Ruby Ring,-,41,1,250,-,-,-,1,-,-,-,-,2,-,5,-,-,-,-,-,-,-,-,-
Iron Sapphire Ring,-,41,1,250,-,-,-,-,1,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-
Ialtag's Eye,-,50,1,250,400,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Myanmar Ring,-,50,1,250,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Sonor Ring,-,50,1,500,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
Dark Aisling Ring,-,70,1,400,250,-,5,-1,1,1,-1,-1,3,3,-,-,-,-,-,-,-,-,-,-
Mythril Beryl Ring,-,71,1,500,100,-,5,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-
Mythril Emerald Ring,-,71,1,250,100,-,5,-,-,-,-,2,-,-,4,-,-,-,-,-,-,-,-,-
Mythril Heartstone Ring,-,71,1,250,100,-,9,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mythril Ruby Ring,-,71,1,250,100,-,5,2,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
Mythril Sapphire Ring,-,71,1,250,100,-,5,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Grand Emerald Ring,-,77,1,200,400,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
Grand Ruby Ring,-,77,1,600,-,-,-,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
Star Ring,-,86,1,500,300,-,-,1,1,-,-,-,6,3,6,-,-,-,-,-,-,-,-,-
Hy-Brasyl Beryl Ring,-,97,1,750,250,-,5,-,-,-,2,-,2,1,5,-,-,-,-,-,-,-,-,-
Hy-Brasyl Emerald Ring,-,97,1,500,250,-,5,-,-,-,-,2,-,-,9,-,-,-,-,-,-,-,-,-
Hy-Brasyl Heartstone Ring,-,97,1,500,250,-,9,-,-,2,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Hy-Brasyl Ruby Ring,-,97,1,500,250,-,5,2,-,-,-,-,4,-,5,-,-,-,-,-,-,-,-,-
Hy-Brasyl Sapphire Ring,-,97,1,500,250,-,5,-,2,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-
Deepstone Twinband,-,Ab 1,1,1700,1150,-2,9,4,4,3,3,3,7,6,10,-,2,-,2,-,-,1,-,-
