Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Captain's Shield,-,-,18,1000,1000,-10,20,-,-,-,-,-,-12,-,-,-,3,-,-,-,-,-,-,-
Cathonic Shield,-,-,20,3000,1000,-17,25,1,1,1,1,1,-12,-,-,-,-,-,-,-,-,-,-,-
Cursed Shield,-,-,18,-4000,-2000,-8,-20,-2,-2,-2,-2,-2,20,-10,-,-,5,-,-,-,-,-,-,-
Nyx's Umbral Shield,-,-,18,1000,1000,-9,15,2,2,2,2,2,-5,-,-,-,-,-,-,-,-,-,-,-
Good Captain's Shield,-,-,16,1500,1500,-11,23,-,-,-,-,-,-11,-,-,-,4,-,-,-,-,-,-,-
Good Cathonic Shield,-,-,12,3500,1250,-18,28,1,1,1,1,1,-10,-,-,-,-,-,-,-,-,-,-,-
Good Cursed Shield,-,-,11,-3000,-1500,-9,-15,-2,-2,-2,-2,-2,21,-9,-,-,6,-,-,-,-,-,-,-
Good Nyx's Umbral Shield,-,-,18,1350,1350,-10,18,3,3,3,3,3,-2,-,-,-,-,-,-,-,-,-,-,-
Grand Captain's Shield,-,-,12,2500,2500,-12,30,-,-,-,-,-,-9,-,-,-,6,-,-,-,-,-,-,-
Grand Cathonic Shield,-,-,10,5000,2000,-19,35,2,2,2,2,2,-6,-,-,-,-,-,-,-,-,-,-,-
Grand Cursed Shield,-,-,9,-1000,-500,-10,-5,-1,-1,-1,-1,-1,24,-,-,-,8,-,-,-,-,-,-,-
Grand Nyx's Umbral Shield,-,-,18,2500,2500,-12,25,5,5,5,5,5,4,-,-,-,2,-,2,-,-,-,-,-
Great Captain's Shield,-,-,14,2000,2000,-11,26,-,-,-,-,-,-10,-,-,-,5,-,-,-,-,-,-,-
Great Cathonic Shield,-,-,12,4000,1500,-18,32,1,1,1,1,1,-8,-,-,-,-,-,-,-,-,-,-,-
Great Cursed Shield,-,-,10,-2000,-1000,-9,-10,-2,-2,-2,-2,-2,23,-8,-,-,7,-,-,-,-,-,-,-
Great Nyx's Umbral Shield,-,-,18,1750,1750,-11,22,4,4,4,4,4,1,-,-,-,1,-,1,-,-,-,-,-
Good Wooden Shield,-,3,4,25,-200,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Wooden Shield,-,3,4,100,-50,-2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Wooden Shield,-,3,4,50,-150,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wooden Shield,-,3,4,-,-250,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Good Leather Shield,-,15,5,125,-400,-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Leather Shield,-,15,4,200,-200,-4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Leather Shield,-,15,4,150,-300,-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Shield,-,15,5,100,-500,-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Shield,-,31,7,150,-1000,-6,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-
