Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Empowered Kalkuri,-,-,11,1000,500,-1,-,-,-,-,-,-,6,-,-,275,42,-,-,137,21,2,-,-
Enchanted Kalkuri,-,-,11,500,1000,-,-,-,-,-,-,-,-,6,-,250,38,200,28,200,28,2,-,-
Kalkuri,-,-,11,500,500,-,-,-,-,-,-,-,-,-,-,225,36,-,-,-,-,-,-,-
Obsidian,-,-,11,4000,1000,-2,-,-,-,-,-,-,10,-,-,400,55,-,-,200,27,4,-,-
Tilian Claw,-,-,11,3000,1000,-1,-,-,-,-,-,-,10,-,-,375,50,-,-,187,25,4,-,-
Emerald Tonfa,-,-,6,500,250,1,-,1,-,-,2,-,4,-,-,275,38,-,-,-,-,-,-,-
Good Emerald Tonfa,-,-,6,500,250,-,-,2,-,-,2,-,5,-,-,300,41,-,-,-,-,-,-,-
Good Ruby Tonfa,-,-,6,800,500,-,-,-,-,-,2,-,3,-,-,275,39,-,-,137,19,-,-,-
Good Sapphire Tonfa,-,-,6,500,750,-,10,-,2,-,2,-,3,7,-,250,38,200,30,200,30,-,-,-
Grand Emerald Tonfa,-,-,5,1000,750,-,-,3,-,-,3,-,7,-,-,350,48,-,-,-,-,2,-,-
Grand Ruby Tonfa,-,-,5,1800,1000,-1,-,-,-,-,4,-,6,-,-,325,44,-,-,162,22,2,-,-
Grand Sapphire Tonfa,-,-,5,1000,1500,-,-,-,4,-,3,-,5,9,-,300,42,250,34,250,34,2,-,-
Great Emerald Tonfa,-,-,6,750,500,-,-,2,-,-,3,-,6,-,-,325,44,-,-,-,-,-,-,-
Great Ruby Tonfa,-,-,6,1200,750,-,-,-,-,-,3,-,5,-,-,300,41,-,-,150,20,-,-,-
Great Sapphire Tonfa,-,-,6,750,1000,-,-,-,3,-,3,-,4,8,-,275,40,225,32,225,32,-,-,-
Ruby Tonfa,-,-,6,500,250,-,-,-,-,-,1,-,2,-,-,250,37,-,-,125,18,-,-,-
Sapphire Tonfa,-,-,6,250,500,1,-,-,1,-,1,-,2,6,-,225,36,175,26,175,26,-,-,-
Dull Claw,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,-,-,-,-,-,-
Good Dull Claws,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,10,4,-,-,-,-,-,-,-
Grand Dull Claws,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,14,6,-,-,-,-,-,-,-
Great Dull Claws,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,12,5,-,-,-,-,-,-,-
Mystic Fist,-,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Good Wolf Claws,-,11,5,-,-,-,-,-,-,-,-,-,-,-,-,20,7,-,-,-,-,-,-,-
Grand Wolf Claws,-,11,4,-,-,-,-,-,-,-,-,-,-,-,-,25,9,-,-,-,-,-,-,-
Great Wolf Claws,-,11,4,-,-,-,-,-,-,-,-,-,-,-,-,23,8,-,-,-,-,-,-,-
Wolf Claw,-,11,5,-,-,-,-,-,-,-,-,-,-,-,-,18,6,-,-,-,-,-,-,-
Dragon Scale Claws,-,41,7,-,-,-,-,-,-,-,-,-,-,-,-,60,20,-,-,-,-,-,-,-
Eagle Talon,-,41,7,-,-,-,-,-,-,-,-,-,-,-,-,33,15,-,-,-,-,-,-,-
Good Eagle Talon,-,41,7,-,-,-,-,-,-,-,-,-,-,-,-,37,17,-,-,-,-,-,-,-
Grand Eagle Talon,-,41,6,-,-,-,-,-,-,-,-,-,-,-,-,44,24,-,-,-,-,-,-,-
Great Eagle Talon,-,41,6,-,-,-,-,-,-,-,-,-,-,-,-,40,20,-,-,-,-,-,-,-
Good Stone Fist,-,50,8,-,-,-1,6,-,-,-,-,-,-,-,-,104,-,-,-,-,-,-,-,-
Grand Stone Fist,-,50,8,-,-,-2,8,-,-,-,-,-,-,-,-,120,-,-,-,-,-,-,-,-
Great Stone Fist,-,50,8,-,-,-1,7,-,-,-,-,-,-,-,-,112,-,-,-,-,-,-,-,-
Stone Fist,-,50,8,-,-,-1,5,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,-,-
Good Phoenix Claw,-,71,7,-,-,-,-,-,-,-,-,-,-,-,-,90,25,-,-,-,-,-,-,-
Grand Phoenix Claw,-,71,6,-,-,-,-,-,-,-,-,-,-,-,-,110,30,-,-,-,-,-,-,-
Great Phoenix Claw,-,71,6,-,-,-,-,-,-,-,-,-,-,-,-,100,27,-,-,-,-,-,-,-
Phoenix Claw,-,71,7,-,-,-,-,-,-,-,-,-,-,-,-,80,22,-,-,-,-,-,-,-
Good Nunchaku,-,97,6,-,-,-1,-,-,-,-,-,-,-,-,-,160,30,-,-,-,-,-,-,-
Grand Nunchaku,-,97,6,-,-,-2,-,-,-,-,-,-,-,-,-,200,35,-,-,-,-,-,-,-
Great Nunchaku,-,97,6,-,-,-1,-,-,-,-,-,-,-,-,-,180,32,-,-,-,-,-,-,-
Nunchaku,-,97,6,-,-,-1,-,-,-,-,-,-,-,-,-,140,28,-,-,-,-,-,-,-
