Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Blue Polyp,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kobold Whacker,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lime Polyp,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Orange Polyp,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Red Polyp,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toy Doll,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yule Tree,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black Paintball Gun,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
Dirk,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-
Grey Paintball Gun,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
Pick axe,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-
Stick,-,1,1,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-
Eppe,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-
Good Eppe,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-
Grand Eppe,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
Great Eppe,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-
Good Saber,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-
Grand Saber,-,7,6,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-
Great Saber,-,7,6,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-
Saber,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
Dragon Slayer,-,99,18,200,-,-,10,-,-,-,-,-,3,-,-,180,15,-,-,-,-,-,-,-
Good Dragon Slayer,-,99,18,150,-,-,10,-,-,-,-,-,-,2,-,185,16,-,-,-,-,-,-,-
Grand Dragon Slayer,-,99,16,400,-,-,10,-,-,-,-,-,5,-,-,215,18,-,-,-,-,-,-,-
Great Dragon Slayer,-,99,17,300,-,-,10,-,-,-,-,-,4,-,-,200,17,-,-,-,-,-,-,-
test,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
