Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Celestial Staff,-,-,5,200,2000,-,-,-,2,1,-,-,-,8,-,49,-,187,25,375,50,4,-,-
Divine Staff,-,-,5,200,3000,-,-,-,1,2,-,-,-,8,-,49,-,200,27,400,55,4,-,-
Holy Hy-Brasyl Gnarl,-,-,5,-200,1000,-,-,-,-2,-1,-,-,-,3,-,49,-,112,18,225,36,-,-,-
Good Staff of Aquaedon,-,-,6,500,750,1,-,-,1,-,-,-,-,4,-,49,-,300,41,150,20,-,-,-
Good Staff of Miraelis,-,-,6,500,750,1,-,-,-,1,-,-,-,3,-,49,-,150,20,300,41,-,-,-
Good Staff of Zephyra,-,-,6,1000,750,1,-,1,-,-,-,1,4,3,-,200,28,200,28,250,36,-,-,-
Grand Staff of Aquaedon,-,-,5,1000,1500,-,-,-,3,1,-,-,-,6,-,49,-,350,48,125,24,2,-,-
Grand Staff of Miraelis,-,-,5,1000,1500,-,-,-,1,3,-,-,-,5,-,49,-,125,24,350,48,2,-,-
Grand Staff of Zephyra,-,-,5,1600,1250,-1,-,3,-,-,-,2,5,5,-,250,32,250,32,300,41,2,-,-
Great Staff of Aquaedon,-,-,6,750,1000,1,-,-,2,-,-,-,-,5,-,49,-,325,44,162,22,-,-,-
Great Staff of Miraelis,-,-,6,750,1000,1,-,-,-,2,-,-,-,4,-,49,-,162,22,325,44,-,-,-
Great Staff of Zephyra,-,-,6,1200,1000,-,-,2,-,-,-,2,4,4,-,225,30,225,30,275,38,-,-,-
Staff of Aquaedon,-,-,6,300,500,2,-,-,-,-,-,-,-,3,-,49,-,275,38,137,19,-,-,-
Staff of Miraelis,-,-,6,300,500,2,-,-,-,-,-,-,-,3,-,49,-,137,19,275,38,-,-,-
Staff of Zephyra,-,-,6,500,500,1,-,-,-,-,-,-,3,3,-,175,26,175,26,225,34,-,-,-
Good Holy Hermes,-,11,2,-,150,-,-,-,-,-,-,-,-,1,-,6,-,14,6,55,5,-,-,-
Grand Holy Hermes,-,11,2,-,300,-,-,-,-,-,-,-,-,2,-,8,-,22,8,50,10,-,-,-
Great Holy Hermes,-,11,2,-,200,-,-,-,-,-,-,-,-,2,-,7,-,18,7,60,6,-,-,-
Holy Hermes,-,11,2,-,100,-,-,-,-,-,-,-,-,1,-,5,-,10,5,50,3,-,-,-
Good Holy Kronos,-,41,4,-,250,-,-,-,-,-,-,-,-,2,-,12,-,24,16,80,9,-,-,-
Grand Holy Kronos,-,41,4,-,400,-,-,-,-,-,-,-,-,3,-,16,-,32,20,100,15,-,-,-
Great Holy Kronos,-,41,4,-,300,-,-,-,-,-,-,-,-,3,-,14,-,28,18,90,10,-,-,-
Holy Kronos,-,41,4,-,200,-,-,-,-,-,-,-,-,2,-,10,-,20,15,75,7,-,-,-
Good Holy Diana,-,71,2,-,450,-,-,-,-,-,-,-,-,1,-,16,-,35,26,-,-,-,-,-
Grand Holy Diana,-,71,2,-,550,-,-,-,-,-,-,-,-,3,-,20,-,45,30,-,-,-,-,-
Great Holy Diana,-,71,2,-,500,-,-,-,-,-,-,-,-,2,-,17,-,40,27,-,-,-,-,-
Holy Diana,-,71,2,-,400,-,-,-,-,-,-,-,-,1,-,15,-,30,25,-,-,-,-,-
Good Stone Cross,-,90,12,1100,-200,-,-,-,-,-,-,-,5,5,-,120,-,120,-,120,-,-,-,-
Grand Stone Cross,-,90,10,1300,-100,-,-,-,-,-,-,-,6,6,-,180,-,180,-,180,-,-,-,-
Great Stone Cross,-,90,11,1200,-150,-,-,-,-,-,-,-,5,5,-,150,-,150,-,150,-,-,-,-
Stone Cross,-,90,12,1000,-250,-,-,-,-,-,-,-,5,5,-,100,-,100,-,100,-,-,-,-
Good Staff of Wisdom,-,97,2,325,700,-,-,-,-,-,-,-,-,5,-,26,-,55,40,-,-,-,-,-
Grand Staff of Wisdom,-,97,2,400,900,-,-,-,-,-,-,-,-,6,-,30,-,66,44,-,-,-,-,-
Great Staff of Wisdom,-,97,2,350,800,-,-,-,-,-,-,-,-,6,-,28,-,60,42,-,-,-,-,-
Staff of Wisdom,-,97,2,300,600,-,-,-,-,-,-,-,-,5,-,24,-,50,38,-,-,-,-,-
Empowered Holy Hy-Brasyl Gnarl,-,-,5,200,1500,-,-,-,-,-,-,-,-,4,-,49,-,137,21,275,42,2,-,-
Enchanted Holy Hy-Brasyl Gnarl,-,-,5,200,1500,-,-,-,-,-,-,-,-,3,-,125,28,125,28,250,38,2,-,-
