Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Dragon Fang,-,-,14,3000,1500,-,-,3,-,-,-,4,-,-,-,400,60,-,-,-,-,4,-,-
Empowered Hy-Brasyl Azoth,-,-,10,1000,500,-,-,1,-,-,-,1,-,-,-,275,45,-,-,-,-,2,-,-
Enchanted Hy-Brasyl Azoth,-,-,10,500,1000,-,-,2,-,-,-,2,-,4,-,250,38,200,28,200,28,2,-,-
Hy-Brasyl Azoth,-,-,10,500,500,1,-,1,-1,-1,-,1,-,-,-,225,38,-,-,-,-,-,-,-
Skean,-,-,10,2000,1200,-,-,3,-,-,-,4,-,-,-,375,55,-,-,-,-,4,-,-
Chain Whip,-,-,11,400,600,2,-,-,1,-,-,1,4,4,-,225,36,175,28,175,28,-,-,-
Good Chain Whip,-,-,11,600,800,1,-,-,1,-,-,1,5,5,-,250,38,200,30,200,30,-,-,-
Good Kris,-,-,11,1000,600,-,-,1,-,1,-,2,-,-,-,275,41,-,-,187,20,-,-,-
Good Scurvy Dagger,-,-,11,750,500,1,-,1,-,-,-,2,-,-,-,300,44,-,-,-,-,-,-,-
Grand Chain Whip,-,-,10,1000,1500,-,5,-,3,-,-,3,8,7,-,300,45,250,34,250,34,2,-,-
Grand Kris,-,-,10,1600,1000,-1,-,2,-,2,-,3,-,-,-,325,47,-,-,167,23,2,-,-
Grand Scurvy Dagger,-,-,10,1500,1000,-,-,3,-,-,-,4,-,-,-,350,50,-,-,-,-,2,-,-
Great Chain Whip,-,-,11,800,1000,1,-,-,2,-,-,3,6,6,-,275,40,225,32,225,32,-,-,-
Great Kris,-,-,11,1300,750,-1,-,2,-,1,-,2,-,-,-,300,43,-,-,150,21,-,-,-
Great Scurvy Dagger,-,-,11,1000,700,-,-,2,-,-,-,3,-,-,-,325,47,-,-,-,-,-,-,-
Kris,-,-,11,750,500,-,-,1,-,-,-,2,-,-,-,250,39,-,-,125,19,-,-,-
Scurvy Dagger,-,-,11,400,400,1,-,-,-,-,-,1,-,-,-,275,41,-,-,-,-,-,-,-
Good Snow Dagger,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-
Grand Snow Dagger,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-
Great Snow Dagger,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-
Snow Dagger,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
Good Snow Secret,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
Grand Snow Secret,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-
Great Snow Secret,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-
Snow Secret,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-
Center Dagger,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,-,-,-,-
Good Center Dagger,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,-,-,-,-,-,-
Grand Center Dagger,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,14,3,-,-,-,-,-,-,-
Great Center Dagger,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,12,2,-,-,-,-,-,-,-
Center Secret,-,10,3,-,-,-,-,-,-,-,-,-,-,-,-,12,1,-,-,-,-,-,-,-
Good Center Secret,-,10,3,-,-,-,-,-,-,-,-,-,-,-,-,14,1,-,-,-,-,-,-,-
Grand Center Secret,-,10,3,-,-,-,-,-,-,-,-,-,-,-,-,18,3,-,-,-,-,-,-,-
Great Center Secret,-,10,3,-,-,-,-,-,-,-,-,-,-,-,-,16,2,-,-,-,-,-,-,-
Mystic Knife,-,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blossom Dagger,-,11,6,-,-,-,-,-,-,-,-,-,1,-,-,12,3,-,-,-,-,-,-,-
Good Blossom Dagger,-,11,6,-,-,-,-,-,-,-,-,-,1,-,-,14,4,-,-,-,-,-,-,-
Grand Blossom Dagger,-,11,5,-,-,-,-,-,-,-,-,-,1,-,-,18,6,-,-,-,-,-,-,-
Great Blossom Dagger,-,11,6,-,-,-,-,-,-,-,-,-,1,-,-,16,5,-,-,-,-,-,-,-
Blossom Secret,-,18,4,-,-,-,-,-,-,-,-,-,-,1,-,24,3,-,-,-,-,-,-,-
Good Blossom Secret,-,18,4,-,-,-,-,-,-,-,-,-,-,1,-,26,4,-,-,-,-,-,-,-
Grand Blossom Secret,-,18,3,-,-,-,-,-,-,-,-,-,-,1,-,30,6,-,-,-,-,-,-,-
Great Blossom Secret,-,18,4,-,-,-,-,-,-,-,-,-,-,1,-,28,5,-,-,-,-,-,-,-
Curved Dagger,-,30,7,-,-,-,-,-,-,-,-,-,2,-,-,22,7,-,-,-,-,-,-,-
Good Curved Dagger,-,30,7,-,-,-,-,-,-,-,-,-,2,-,-,24,8,-,-,-,-,-,-,-
Grand Curved Dagger,-,30,6,-,-,-,-,-,-,-,-,-,2,-,-,30,10,-,-,-,-,-,-,-
Great Curved Dagger,-,30,7,-,-,-,-,-,-,-,-,-,2,-,-,27,9,-,-,-,-,-,-,-
Good Moon Dagger,-,31,9,-,-,-,-,-,-,-,-,-,2,-,-,30,5,-,-,-,-,-,-,-
Grand Moon Dagger,-,31,8,-,-,-,-,-,-,-,-,-,2,-,-,36,7,-,-,-,-,-,-,-
Great Moon Dagger,-,31,9,-,-,-,-,-,-,-,-,-,2,-,-,33,6,-,-,-,-,-,-,-
Moon Dagger,-,31,9,-,-,-,-,-,-,-,-,-,2,-,-,28,4,-,-,-,-,-,-,-
Grand Moon Secret,-,37,7,-,-,-,-,-,-,-,-,-,-,2,-,41,8,-,-,-,-,-,-,-
Great Moon Secret,-,37,6,-,-,-,-,-,-,-,-,-,-,2,-,38,7,-,-,-,-,-,-,-
Moon Secret,-,37,7,-,-,-,-,-,-,-,-,-,-,2,-,32,5,-,-,-,-,-,-,-
Dragon Scale Dagger,Dragon Scale Quest,41,7,-,-,-,8,-,-,-,-,-,3,-,-,52,12,-,-,-,-,-,-,-
Good Light Dagger,-,42,10,-,-,-,-,-,-,-,-,-,3,-,-,44,9,-,-,-,-,-,-,-
Grand Light Dagger,-,42,9,-,-,-,-,-,-,-,-,-,3,-,-,52,11,-,-,-,-,-,-,-
Great Light Dagger,-,42,9,-,-,-,-,-,-,-,-,-,3,-,-,48,10,-,-,-,-,-,-,-
Light Dagger,-,42,10,-,-,-,-,-,-,-,-,-,3,-,-,40,8,-,-,-,-,-,-,-
Good Light Secret,-,52,11,-,-,-,-,-,-,-,-,-,-,4,-,60,9,-,-,-,-,-,-,-
