Name,LOC,LVL,WGT,HP,MP,AC,MR,STR,INT,WIS,CON,DEX,DMG,HIT,AS%,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%,Value,Set
Master Saber,Mastering,-,7,2000,-,-,-,-,-,-,-,-,-,-,-,250,36,-,-,-,-,-,-,-
Beryl Saber,Weaponsmithing,-,9,750,-,1,-,-,-,-,-,-,-,-,-,275,38,-,-,137,18,-,-,-
Good Beryl Saber,Weaponsmithing,-,9,1000,-,-,-,-,-,-,-,-,-,-,-,300,40,-,-,150,20,-,-,-
Good Ruby Saber,Weaponsmithing,-,9,-,-,2,-,-,-,-,-,-,-,-,-,325,42,-,-,-,-,-,-,-
Good Sapphire Saber,Weaponsmithing,-,9,-,1000,3,-,-,-,-,-,-,-,5,-,275,36,225,29,225,29,-,-,-
Grand Beryl Saber,Weaponsmithing,-,8,1500,-,-1,-,-,-,-,-,-,-,-,-,350,45,-,-,175,22,2,-,-
Grand Ruby Saber,Weaponsmithing,-,7,-,-,1,-,-,-,-,-,-,-,-,-,375,50,-,-,-,-,2,-,-
Grand Sapphire Saber,Weaponsmithing,-,8,-,600,2,-,-,-,-,-,-,-,7,-,325,41,275,32,275,32,2,-,-
Great Beryl Saber,Weaponsmithing,-,9,1250,-,-,-,-,-,-,-,-,-,-,-,325,42,-,-,162,21,-,-,-
Great Ruby Saber,Weaponsmithing,-,9,-,-,2,-,-,-,-,-,-,-,-,-,350,45,-,-,-,-,-,-,-
Great Sapphire Saber,Weaponsmithing,-,9,-,1400,3,-,-,-,-,-,-,-,6,-,300,39,250,29,250,29,-,-,-
Ruby Saber,Weaponsmithing,-,9,-,-,3,-,-,-,-,-,-,-,-,-,300,39,-,-,-,-,-,-,-
Sapphire Saber,Weaponsmithing,-,9,-,600,3,-,-,-,-,-,-,-,4,-,250,34,200,27,200,27,-,-,-
Dawnreaver Battle Axe,-,-,10,2500,-,7,-,3,-,-,-,-,16,-,-,700,53,-,-,-,-,4,-,-
Duskrender Battle Axe,-,-,10,4000,-,6,-,5,-,-,-,-,16,-,-,750,57,-,-,-,-,4,-,-
Empowered Hy-Brasyl Escalon,Empowering Stone,-,10,1200,-,7,-,-,-,-,-,-,14,-,-,500,43,-,-,-,-,2,-,-
Enchanted Hy-Brasyl Escalon,Empowering Stone,-,10,500,500,8,-,-,-,-,-,-,14,4,-,500,37,200,18,200,18,2,-,-
