Name,Level,Type,Materials,Materials to upgrade
Eppe,2,1H,"2 Raw Bronze, 1 Coal","1 Eppe, 2 Raw Bronze, 1 Coal"
Saber,7,1H,"2 Raw Bronze, 1 Coal","1 Saber, 1 Raw Bronze, 1 Coal"
Claidheamh,11,1H,"2 Polished Bronze Bar, 1 Coal","1 Claidheamh, 1 Polished Bronze Bar, 1 Coal"
Hatchet,11,1H,"3 Polished Bronze Bar, 1 Coal","1 Hatchet, 1 Polished Bronze Bar, 1 Coal"
Broad Sword,17,1H,"2 Polished Bronze Bar, 2 Coal","1 Broad Sword, 1 Polished Bronze Bar, 2 Coal"
Harpoon,21,1H,1 Cannot be crafted,"1 Harpoon, 1 Polished Bronze Bar, 1 Coal"
Battle Sword,26,1H,"3 Polished Bronze Bar, 2 Coal","1 Battle Sword, 2 Polished Bronze Bar, 2 Coal"
Masquerade,31,1H,"4 Polished Bronze Bar, 2 Coal","1 Masquerade, 2 Polished Bronze Bar, 1 Coal"
Scimitar,36,1H,1 Cannot be crafted,"1 Scimitar, 2 Polished Bronze Bar, 2 Coal"
Bramble,41,1H,"2 Polished Iron Bar, 2 Coal","1 Bramble, 1 Polished Iron Bar, 3 Coal"
Club,41,1H,1 Cannot be crafted,"1 Club, 2 Polished Iron Bar, 2 Coal"
Spiked Club,50,1H,"1 Club, 1 Polished Iron Bar, 2 Coal","1 Spiked Club, 3 Polished Iron Bar, 2 Coal"
Chain Mace,60,1H,"3 Polished Iron Bar, 3 Coal","1 Chain Mace, 3 Polished Iron Bar, 3 Coal"
Handaxe,71,1H,"2 Polished Mythril Bar, 2 Coal","1 Hand Axe, 2 Polished Mythril Bar, 2 Coal"
Cutlass,80,1H,1 Cannot be crafted,"1 Cutlass, 3 Polished Mythril Bar, 2 Coal"
Talgonite Axe,95,1H,"3 Polished Hy-brasyl Bar, 5 Coal","1 Talgonite Axe, 4 Polished Hy-brasyl Bar, 4 Coal"
Dragon Slayer,99,1H,1 Cannot be crafted,"1 Dragon Slayer, 5 Polished Hy-brasyl Bar, 5 Coal"
Ruby Saber,99,1H,"10 Polished Crimsonite Bar, 10 Polished Azurium Bar, 25 Pristine Ruby",Can only be upgraded by a Polishing Stone
Sapphire Saber,99,1H,"10 Polished Crimsonite Bar, 10 Polished Azurium Bar, 25 Pristine Sapphire",Can only be upgraded by a Polishing Stone
Beryl Saber,99,1H,"10 Polished Crimsonite Bar, 10 Polished Azurium Bar, 25 Pristine Beryl",Can only be upgraded by a Polishing Stone
Longsword,50,2H,"3 Polished Iron Bar, 2 Coal","1 Longsword, 1 Polished Iron Bar, 3 Coal"
